epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.31,1.69066,3.33047,2.12332,0.30886,0.25509,0.07497,0.0676,2.6163,5.61283,3.44929,0.00333255,0.00333255,0.00333255
2,2209.42,1.55635,2.93488,2.02658,0.80212,0.25,0.10604,0.10018,2.6334,5.6485,3.57148,0.0065339,0.0065339,0.0065339
3,3304.53,1.56045,2.92046,2.03867,0.40877,0.25012,0.08086,0.0744,2.59873,5.76057,3.57705,0.00960325,0.00960325,0.00960325
4,4396.49,1.54134,2.89028,2.02237,0.31934,0.26161,0.08322,0.07146,2.54764,5.62924,3.62547,0.009406,0.009406,0.009406
5,5487.04,1.49979,2.85533,1.99048,0.31108,0.25814,0.1451,0.13859,2.53061,5.7005,3.61845,0.009208,0.009208,0.009208
6,6577.42,1.47651,2.82344,1.96831,0.31337,0.27174,0.11491,0.10851,2.52205,5.56002,3.67966,0.00901,0.00901,0.00901
7,7669.21,1.45827,2.81056,1.95639,0.31777,0.2714,0.13777,0.13087,2.49689,5.55386,3.67084,0.008812,0.008812,0.008812
8,8759.96,1.4436,2.79684,1.94541,0.31775,0.32246,0.13387,0.12703,2.51941,5.70927,3.72585,0.008614,0.008614,0.008614
9,9850.21,1.42792,2.78342,1.93397,0.31849,0.31507,0.17136,0.165,2.50248,5.60901,3.64726,0.008416,0.008416,0.008416
10,10940.3,1.42416,2.77323,1.93281,0.31932,0.30036,0.16912,0.16231,2.49715,5.54821,3.65495,0.008218,0.008218,0.008218
11,12029.4,1.41214,2.77081,1.92592,0.32013,0.30706,0.14513,0.13859,2.48097,5.56089,3.65403,0.00802,0.00802,0.00802
12,13118.2,1.40437,2.75678,1.92038,0.18621,0.42365,0.17948,0.1732,2.47715,5.57185,3.65368,0.007822,0.007822,0.007822
13,14207,1.40292,2.75468,1.91719,0.14671,0.46782,0.24305,0.23679,2.47249,5.56935,3.6396,0.007624,0.007624,0.007624
14,15296,1.39407,2.74902,1.91336,0.14802,0.54578,0.23452,0.2282,2.47399,5.54186,3.63889,0.007426,0.007426,0.007426
15,16384.5,1.39071,2.74448,1.91081,0.13858,0.54509,0.23582,0.22952,2.47216,5.53699,3.64052,0.007228,0.007228,0.007228
16,17473.6,1.38635,2.73939,1.9094,0.13723,0.54482,0.23437,0.2281,2.46886,5.53454,3.64285,0.00703,0.00703,0.00703
17,18562.7,1.38268,2.73496,1.90701,0.13479,0.54453,0.19642,0.19015,2.46593,5.54322,3.6313,0.006832,0.006832,0.006832
18,19650.9,1.37785,2.72942,1.90309,0.13527,0.54498,0.23794,0.23167,2.46357,5.53935,3.62875,0.006634,0.006634,0.006634
19,20738.1,1.38397,2.72501,1.90554,0.13503,0.54611,0.31706,0.31075,2.46204,5.54613,3.62038,0.006436,0.006436,0.006436
20,21826.6,1.37623,2.72459,1.90083,0.13407,0.54604,0.31783,0.31146,2.46013,5.55164,3.61733,0.006238,0.006238,0.006238
21,22916.9,1.37034,2.71644,1.89919,0.13391,0.5432,0.32086,0.31449,2.45815,5.55193,3.61539,0.00604,0.00604,0.00604
22,24004.6,1.37197,2.71323,1.9008,0.13563,0.51383,0.32797,0.32156,2.45683,5.54578,3.61661,0.005842,0.005842,0.005842
23,25093.2,1.36559,2.70604,1.8961,0.13881,0.50869,0.32156,0.31513,2.45584,5.52584,3.61222,0.005644,0.005644,0.005644
24,26184.2,1.36611,2.70735,1.89445,0.13252,0.50409,0.32217,0.31571,2.45552,5.49665,3.61138,0.005446,0.005446,0.005446
25,27271.7,1.36172,2.69954,1.89224,0.38334,0.50174,0.31923,0.31269,2.45525,5.4865,3.61365,0.005248,0.005248,0.005248
26,28360.3,1.35581,2.69231,1.88962,0.37755,0.5,0.31924,0.31269,2.45414,5.47704,3.61362,0.00505,0.00505,0.00505
27,29451.5,1.35517,2.68938,1.88389,0.3809,0.5,0.31858,0.31201,2.45553,5.45965,3.6176,0.004852,0.004852,0.004852
28,30539.9,1.34962,2.68322,1.88253,0.63454,0.5,0.31639,0.30975,2.45657,5.44486,3.6211,0.004654,0.004654,0.004654
29,31629.4,1.3444,2.68143,1.88031,0.64013,0.5,0.27625,0.2696,2.4594,5.43738,3.62488,0.004456,0.004456,0.004456
30,32721.3,1.34011,2.6681,1.87621,0.64337,0.5,0.25345,0.24674,2.46125,5.41916,3.62377,0.004258,0.004258,0.004258
31,33810.4,1.33796,2.66236,1.87219,0.64525,0.5,0.24144,0.23468,2.46253,5.3948,3.62485,0.00406,0.00406,0.00406
32,34899,1.33523,2.66273,1.87146,0.64887,0.5,0.24463,0.23783,2.46393,5.37427,3.62398,0.003862,0.003862,0.003862
33,35989.9,1.32622,2.65763,1.86435,0.63514,0.44453,0.24136,0.2345,2.46228,5.36289,3.61893,0.003664,0.003664,0.003664
34,37079.2,1.32816,2.66143,1.86734,0.62686,0.4167,0.23982,0.23287,2.46081,5.34691,3.61607,0.003466,0.003466,0.003466
35,38166.9,1.32514,2.65166,1.86084,0.62247,0.40182,0.24127,0.2343,2.45979,5.34045,3.61443,0.003268,0.003268,0.003268
36,39252.9,1.31811,2.64015,1.85415,0.62609,0.41369,0.24676,0.23978,2.46006,5.33741,3.61407,0.00307,0.00307,0.00307
37,40338.9,1.31798,2.64192,1.85562,0.13513,0.51661,0.24523,0.23825,2.4602,5.33216,3.61118,0.002872,0.002872,0.002872
38,41422.8,1.31058,2.63924,1.85103,0.13507,0.5163,0.24511,0.23816,2.45886,5.32552,3.61235,0.002674,0.002674,0.002674
39,42506.4,1.30538,2.62792,1.84572,0.13347,0.51629,0.23564,0.22866,2.45772,5.32242,3.6108,0.002476,0.002476,0.002476
40,43590.3,1.30296,2.62883,1.84701,0.13061,0.51629,0.2365,0.22951,2.45751,5.31392,3.60981,0.002278,0.002278,0.002278
41,44601.3,1.37463,2.6075,2.03078,0.12818,0.51872,0.23536,0.22839,2.45631,5.24269,3.60992,0.00208,0.00208,0.00208
42,45611.6,1.37434,2.57438,2.02274,0.12877,0.51718,0.23435,0.22736,2.45547,5.18954,3.60155,0.001882,0.001882,0.001882
