epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.397,1.37689,3.36215,1.41162,0.96232,0.12948,0.185,0.11292,1.38868,2.53877,1.3962,0.000157111,0.000157111,0.000157111
2,387.459,1.30554,1.71793,1.36083,0.69507,0.24193,0.24545,0.14574,1.35366,1.51206,1.41691,0.000309525,0.000309525,0.000309525
3,497.517,1.27135,1.46147,1.33434,0.64879,0.25637,0.27104,0.15584,1.34364,1.43593,1.39547,0.000455656,0.000455656,0.000455656
4,607.109,1.26854,1.3984,1.33128,0.71484,0.25259,0.27171,0.1607,1.34688,1.43719,1.39652,0.000447726,0.000447726,0.000447726
5,720.925,1.23414,1.30755,1.31039,0.75612,0.24971,0.28522,0.16585,1.34518,1.35301,1.37115,0.000438301,0.000438301,0.000438301
6,828.307,1.21777,1.25851,1.29311,0.71713,0.28341,0.3114,0.18242,1.30167,1.2827,1.34631,0.000428876,0.000428876,0.000428876
7,935.428,1.20172,1.2087,1.28687,0.68954,0.29943,0.32398,0.19101,1.29081,1.2065,1.32728,0.000419451,0.000419451,0.000419451
8,1047.89,1.18356,1.16662,1.276,0.69413,0.30184,0.34413,0.20548,1.23935,1.16846,1.28414,0.000410026,0.000410026,0.000410026
9,1160.8,1.16771,1.12556,1.26342,0.60937,0.32738,0.35053,0.21096,1.2381,1.16657,1.28951,0.000400602,0.000400602,0.000400602
10,1277.87,1.16679,1.10793,1.25826,0.59954,0.3269,0.35389,0.21132,1.22102,1.11844,1.27495,0.000391177,0.000391177,0.000391177
11,1396.92,1.15415,1.07535,1.24863,0.55901,0.36872,0.38004,0.2232,1.22867,1.07262,1.27784,0.000381752,0.000381752,0.000381752
12,1508.3,1.14557,1.06033,1.2452,0.68426,0.32642,0.36789,0.21807,1.21119,1.07186,1.26626,0.000372327,0.000372327,0.000372327
13,1622.07,1.13352,1.0388,1.23444,0.55862,0.37014,0.38616,0.23011,1.20022,1.04999,1.2496,0.000362902,0.000362902,0.000362902
14,1739.33,1.12873,1.02199,1.23151,0.68991,0.33543,0.40264,0.23883,1.18043,1.01024,1.24544,0.000353478,0.000353478,0.000353478
15,1888.88,1.12134,1.00682,1.22455,0.55164,0.38887,0.39807,0.23899,1.18731,0.99523,1.23872,0.000344053,0.000344053,0.000344053
16,2025.75,1.11693,1.00054,1.22466,0.63341,0.36247,0.39997,0.24017,1.1766,0.9955,1.23337,0.000334628,0.000334628,0.000334628
17,2164.24,1.11294,0.98234,1.21488,0.57135,0.39878,0.43223,0.25977,1.14723,0.95201,1.21146,0.000325203,0.000325203,0.000325203
18,2298.06,1.11147,0.97215,1.21955,0.58246,0.39399,0.42679,0.25191,1.19311,1.0128,1.24466,0.000315778,0.000315778,0.000315778
19,2434.22,1.10161,0.96053,1.21017,0.58817,0.41728,0.43704,0.25871,1.15759,0.95179,1.21794,0.000306354,0.000306354,0.000306354
20,2570.3,1.09044,0.94397,1.20443,0.58174,0.42578,0.44704,0.2674,1.14606,0.92814,1.21161,0.000296929,0.000296929,0.000296929
21,2720.35,1.08497,0.93642,1.20268,0.60139,0.38814,0.41658,0.25251,1.16953,0.98139,1.2259,0.000287504,0.000287504,0.000287504
22,2869.36,1.0842,0.92851,1.20227,0.57555,0.43899,0.45986,0.27813,1.14145,0.89988,1.20478,0.000278079,0.000278079,0.000278079
23,3026.08,1.07374,0.91963,1.19824,0.56551,0.41699,0.44616,0.26854,1.14877,0.92213,1.21575,0.000268654,0.000268654,0.000268654
24,3159.96,1.08074,0.91587,1.19509,0.55676,0.43376,0.44426,0.26677,1.13255,0.91509,1.20472,0.00025923,0.00025923,0.00025923
25,3286.06,1.06887,0.90046,1.18825,0.54837,0.45601,0.46708,0.2855,1.12309,0.90047,1.18892,0.000249805,0.000249805,0.000249805
26,3409.83,1.06781,0.89935,1.1873,0.57346,0.41099,0.44447,0.27134,1.12368,0.88887,1.18944,0.00024038,0.00024038,0.00024038
27,3537.33,1.05324,0.87845,1.17793,0.61076,0.4403,0.47004,0.28593,1.13504,0.89336,1.20172,0.000230955,0.000230955,0.000230955
28,3656.21,1.05327,0.8747,1.17458,0.57522,0.45341,0.47055,0.28267,1.11482,0.87638,1.18464,0.00022153,0.00022153,0.00022153
29,3796.98,1.04977,0.86817,1.17785,0.57336,0.47011,0.48996,0.29692,1.1071,0.85162,1.17929,0.000212106,0.000212106,0.000212106
30,3924.17,1.04335,0.86058,1.17153,0.58433,0.45359,0.47788,0.28991,1.10323,0.84627,1.17796,0.000202681,0.000202681,0.000202681
31,4059.52,1.03849,0.84922,1.1646,0.60465,0.45097,0.48082,0.29331,1.10769,0.84542,1.17424,0.000193256,0.000193256,0.000193256
32,4168.04,1.03741,0.84691,1.16763,0.59736,0.47579,0.49932,0.30534,1.09837,0.83927,1.17392,0.000183831,0.000183831,0.000183831
33,4276.59,1.03539,0.84055,1.16503,0.61665,0.45719,0.48978,0.30265,1.09147,0.83588,1.17275,0.000174406,0.000174406,0.000174406
34,4380.5,1.0255,0.8316,1.16149,0.66125,0.43692,0.49708,0.30531,1.09887,0.83255,1.16749,0.000164982,0.000164982,0.000164982
35,4480.43,1.021,0.82379,1.1593,0.58416,0.4718,0.4967,0.30642,1.09201,0.83229,1.16697,0.000155557,0.000155557,0.000155557
36,4584.18,1.02038,0.82161,1.1554,0.60822,0.49139,0.51268,0.3111,1.08604,0.80502,1.16383,0.000146132,0.000146132,0.000146132
37,4687.51,1.01711,0.8136,1.15241,0.60006,0.50206,0.51733,0.3166,1.08898,0.81404,1.16461,0.000136707,0.000136707,0.000136707
38,4790.58,1.01482,0.81129,1.15,0.64133,0.47293,0.51164,0.31289,1.08943,0.80998,1.16507,0.000127282,0.000127282,0.000127282
39,4896.31,1.0069,0.7995,1.15026,0.62266,0.47359,0.51117,0.31684,1.08265,0.79708,1.16473,0.000117858,0.000117858,0.000117858
40,4996.26,1.00217,0.79132,1.14368,0.63318,0.48317,0.51666,0.31916,1.08122,0.79456,1.15914,0.000108433,0.000108433,0.000108433
41,5094.23,0.98633,0.72358,1.12268,0.66152,0.48032,0.52382,0.32152,1.0764,0.79817,1.15593,9.9008e-05,9.9008e-05,9.9008e-05
42,5187,0.97096,0.69901,1.11364,0.61864,0.48337,0.51115,0.31687,1.07359,0.78696,1.15355,8.95832e-05,8.95832e-05,8.95832e-05
43,5284.44,0.9641,0.69189,1.11055,0.64666,0.49194,0.52898,0.32479,1.07511,0.78364,1.15378,8.01584e-05,8.01584e-05,8.01584e-05
44,5378.89,0.95717,0.67898,1.10449,0.6436,0.49122,0.52021,0.32149,1.06883,0.78038,1.14607,7.07336e-05,7.07336e-05,7.07336e-05
45,5474.52,0.95168,0.67537,1.10437,0.61423,0.51186,0.52567,0.32639,1.06753,0.77181,1.14519,6.13088e-05,6.13088e-05,6.13088e-05
46,5559.96,0.9477,0.66784,1.09686,0.69336,0.48076,0.53011,0.32964,1.06708,0.76809,1.14509,5.1884e-05,5.1884e-05,5.1884e-05
47,5658.37,0.94184,0.66327,1.09735,0.62311,0.50495,0.52794,0.32858,1.06574,0.76704,1.14677,4.24592e-05,4.24592e-05,4.24592e-05
48,5756.29,0.93541,0.65238,1.09196,0.66639,0.48989,0.52812,0.32738,1.06224,0.76468,1.14463,3.30344e-05,3.30344e-05,3.30344e-05
49,5848.79,0.92988,0.64993,1.08894,0.63476,0.49218,0.52937,0.32797,1.06402,0.76231,1.14373,2.36096e-05,2.36096e-05,2.36096e-05
50,5944.76,0.92848,0.64771,1.09144,0.67094,0.48998,0.53093,0.32885,1.06202,0.76172,1.14313,1.41848e-05,1.41848e-05,1.41848e-05
