epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2937.02,1.22047,2.08562,1.30989,0.48817,0.30653,0.3078,0.19051,1.14149,1.09214,1.21408,0.000157111,0.000157111,0.000157111
2,5890.13,1.1278,1.04369,1.21304,0.67253,0.31731,0.34018,0.20283,1.20198,1.11723,1.25356,0.000303273,0.000303273,0.000303273
3,9022.65,1.15028,1.01284,1.21878,0.55047,0.33889,0.35213,0.20537,1.22951,1.11762,1.27429,0.000436868,0.000436868,0.000436868
4,11880.8,1.15323,0.99778,1.22364,0.56356,0.35066,0.37574,0.22077,1.18265,1.04939,1.23574,0.000419451,0.000419451,0.000419451
5,15232.4,1.12343,0.94843,1.20508,0.54472,0.35299,0.37398,0.22278,1.16189,1.00409,1.22788,0.000400602,0.000400602,0.000400602
6,18322.8,1.10603,0.90825,1.18742,0.54206,0.38742,0.40131,0.23883,1.13686,0.95852,1.19081,0.000381752,0.000381752,0.000381752
7,21375.6,1.08582,0.88092,1.17612,0.57745,0.4052,0.42636,0.25195,1.13879,0.90924,1.21,0.000362902,0.000362902,0.000362902
8,24470.1,1.06787,0.84779,1.16761,0.65573,0.37934,0.43644,0.268,1.09382,0.85442,1.17088,0.000344053,0.000344053,0.000344053
9,27284.1,1.05177,0.82726,1.15421,0.66266,0.41667,0.46911,0.27816,1.0861,0.81582,1.16299,0.000325203,0.000325203,0.000325203
10,29921,1.04181,0.80565,1.14742,0.63462,0.42753,0.46323,0.28169,1.06517,0.80943,1.15254,0.000306354,0.000306354,0.000306354
11,32517.1,1.02707,0.78411,1.13809,0.66495,0.46348,0.49302,0.30276,1.06024,0.78325,1.14195,0.000287504,0.000287504,0.000287504
12,35125.6,1.01245,0.76858,1.12893,0.63602,0.48812,0.51898,0.31428,1.04123,0.75593,1.12668,0.000268654,0.000268654,0.000268654
13,37836.5,1.00123,0.75007,1.12279,0.59208,0.45146,0.48633,0.29953,1.03995,0.75808,1.13444,0.000249805,0.000249805,0.000249805
14,40440.5,0.99186,0.73579,1.11802,0.66259,0.48603,0.52852,0.324,1.03054,0.73406,1.12771,0.000230955,0.000230955,0.000230955
15,43292.8,0.97307,0.71023,1.10562,0.67144,0.47148,0.52208,0.32029,1.01825,0.73098,1.11439,0.000212106,0.000212106,0.000212106
16,46363.7,0.95822,0.66272,1.08626,0.65136,0.50089,0.52748,0.33467,1.01644,0.71723,1.11398,0.000193256,0.000193256,0.000193256
17,49231.3,0.94122,0.63476,1.07615,0.67689,0.50543,0.54587,0.33785,1.01171,0.7058,1.10779,0.000174406,0.000174406,0.000174406
18,51892,0.92558,0.61332,1.06572,0.72268,0.50365,0.55563,0.3469,0.99636,0.68599,1.09924,0.000155557,0.000155557,0.000155557
19,54565.4,0.91064,0.59489,1.05486,0.70079,0.49198,0.54673,0.34705,0.9913,0.67554,1.09015,0.000136707,0.000136707,0.000136707
