epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.285,1.26424,2.20623,1.38958,0.61885,0.28518,0.30194,0.1873,1.18872,1.16814,1.29898,0.000157111,0.000157111,0.000157111
2,273.45,1.16454,1.17101,1.28321,0.6301,0.29259,0.31506,0.18288,1.29121,1.31987,1.3717,0.000309525,0.000309525,0.000309525
3,379.756,1.20255,1.15701,1.29854,0.62596,0.29151,0.30883,0.18194,1.31765,1.31807,1.39238,0.000455656,0.000455656,0.000455656
4,492.913,1.21402,1.15198,1.30301,0.5837,0.29735,0.32891,0.19285,1.28603,1.3035,1.36885,0.000447726,0.000447726,0.000447726
5,599.13,1.18078,1.10025,1.28174,0.47816,0.32935,0.35077,0.20649,1.27707,1.1955,1.33862,0.000438301,0.000438301,0.000438301
6,723.304,1.16121,1.05971,1.26309,0.62405,0.33859,0.38925,0.22958,1.22101,1.09732,1.29289,0.000428876,0.000428876,0.000428876
7,835.901,1.14076,1.02371,1.25384,0.74481,0.31319,0.36855,0.22221,1.2325,1.14259,1.29572,0.000419451,0.000419451,0.000419451
8,951.683,1.12784,0.99665,1.24653,0.51773,0.40344,0.42143,0.25016,1.16391,0.99163,1.2491,0.000410026,0.000410026,0.000410026
9,1070.89,1.10622,0.95743,1.23008,0.51347,0.40625,0.41071,0.24782,1.18249,0.98596,1.25244,0.000400602,0.000400602,0.000400602
10,1184.57,1.10337,0.94998,1.2246,0.5466,0.43698,0.44129,0.26567,1.15765,0.92069,1.24005,0.000391177,0.000391177,0.000391177
11,1291.16,1.09068,0.92241,1.21624,0.49672,0.44118,0.44685,0.26762,1.14067,0.9123,1.21792,0.000381752,0.000381752,0.000381752
12,1412.5,1.07319,0.90577,1.20809,0.55547,0.41503,0.4403,0.2658,1.14361,0.91543,1.22258,0.000372327,0.000372327,0.000372327
13,1534.18,1.06213,0.89044,1.19901,0.59861,0.42036,0.45361,0.27973,1.13141,0.91742,1.21488,0.000362902,0.000362902,0.000362902
14,1651.85,1.05592,0.87038,1.19305,0.6217,0.45596,0.4838,0.29756,1.10978,0.85735,1.19752,0.000353478,0.000353478,0.000353478
15,1772.55,1.04972,0.85827,1.1859,0.55917,0.46757,0.47261,0.2917,1.11754,0.8658,1.20496,0.000344053,0.000344053,0.000344053
16,1887.62,1.03928,0.84408,1.18346,0.60954,0.45451,0.48626,0.29776,1.10228,0.84535,1.18789,0.000334628,0.000334628,0.000334628
17,1997.44,1.03492,0.83671,1.17504,0.6508,0.45395,0.49917,0.30913,1.09878,0.82752,1.1863,0.000325203,0.000325203,0.000325203
18,2108.08,1.02955,0.81997,1.1762,0.61623,0.4549,0.49394,0.30393,1.0862,0.82429,1.18265,0.000315778,0.000315778,0.000315778
19,2219.05,1.01777,0.81048,1.16653,0.6636,0.44805,0.49128,0.30286,1.0827,0.8108,1.1735,0.000306354,0.000306354,0.000306354
20,2327.82,1.00715,0.79687,1.16173,0.62543,0.47514,0.50942,0.31398,1.0834,0.79522,1.18223,0.000296929,0.000296929,0.000296929
21,2444.76,1.00727,0.7934,1.16278,0.66463,0.46941,0.51663,0.32415,1.07573,0.79267,1.17208,0.000287504,0.000287504,0.000287504
22,2559.11,0.99682,0.77987,1.15817,0.63347,0.48212,0.52267,0.32545,1.06803,0.77481,1.16095,0.000278079,0.000278079,0.000278079
23,2669.94,0.99132,0.77262,1.15378,0.68083,0.47631,0.52272,0.32468,1.0697,0.77426,1.16599,0.000268654,0.000268654,0.000268654
24,2777.02,0.99246,0.76698,1.14997,0.64999,0.47882,0.5198,0.32037,1.06186,0.76522,1.16162,0.00025923,0.00025923,0.00025923
25,2881.94,0.97922,0.75042,1.1413,0.58596,0.50417,0.52335,0.32612,1.04998,0.75477,1.15275,0.000249805,0.000249805,0.000249805
26,2990.08,0.97766,0.75046,1.1414,0.65855,0.47465,0.52299,0.32953,1.05464,0.75293,1.15448,0.00024038,0.00024038,0.00024038
27,3102.45,0.96428,0.73437,1.13378,0.64146,0.50618,0.53393,0.33941,1.04889,0.73947,1.1454,0.000230955,0.000230955,0.000230955
28,3218.65,0.95882,0.72439,1.128,0.66395,0.48535,0.535,0.33652,1.04913,0.74385,1.15376,0.00022153,0.00022153,0.00022153
29,3322.42,0.95596,0.71725,1.13031,0.6699,0.51008,0.54427,0.34033,1.03401,0.7231,1.13841,0.000212106,0.000212106,0.000212106
30,3431.66,0.95196,0.70903,1.12409,0.67228,0.51028,0.54126,0.34586,1.04201,0.71945,1.14244,0.000202681,0.000202681,0.000202681
31,3547.68,0.94492,0.69975,1.11579,0.67156,0.52515,0.5574,0.35067,1.0331,0.72022,1.13648,0.000193256,0.000193256,0.000193256
32,3659.43,0.94238,0.69549,1.11949,0.68498,0.52696,0.5745,0.36343,1.02932,0.70545,1.139,0.000183831,0.000183831,0.000183831
33,3772.02,0.93295,0.68608,1.11308,0.70048,0.51574,0.56973,0.36024,1.02105,0.70294,1.13224,0.000174406,0.000174406,0.000174406
34,3887.82,0.92855,0.67789,1.11203,0.67442,0.55013,0.57082,0.36124,1.02309,0.70336,1.13035,0.000164982,0.000164982,0.000164982
35,3996.59,0.92219,0.67044,1.10937,0.67794,0.52947,0.57059,0.36258,1.01797,0.69223,1.13025,0.000155557,0.000155557,0.000155557
36,4103.31,0.91851,0.66967,1.10427,0.64292,0.55656,0.57371,0.36814,1.01213,0.69739,1.12582,0.000146132,0.000146132,0.000146132
37,4210.37,0.91385,0.65894,1.10074,0.67312,0.54147,0.56549,0.36221,1.01313,0.6875,1.12653,0.000136707,0.000136707,0.000136707
38,4325.35,0.91006,0.65178,1.09626,0.73891,0.5076,0.57715,0.36705,1.01632,0.69175,1.1278,0.000127282,0.000127282,0.000127282
39,4428.72,0.9037,0.64501,1.0974,0.69026,0.52848,0.57987,0.37004,1.0145,0.68232,1.12753,0.000117858,0.000117858,0.000117858
40,4531.29,0.8976,0.6353,1.09039,0.70071,0.54329,0.5853,0.37297,1.01017,0.68286,1.12129,0.000108433,0.000108433,0.000108433
41,4634.48,0.87335,0.56164,1.06016,0.70528,0.5454,0.59238,0.37808,1.00433,0.68007,1.11837,9.9008e-05,9.9008e-05,9.9008e-05
42,4735.19,0.85803,0.53943,1.05078,0.6825,0.54128,0.58183,0.37277,1.00443,0.67734,1.11725,8.95832e-05,8.95832e-05,8.95832e-05
43,4834.6,0.84971,0.53232,1.04763,0.69045,0.54083,0.58978,0.38225,1.00727,0.67586,1.12165,8.01584e-05,8.01584e-05,8.01584e-05
44,4953.25,0.8416,0.521,1.04207,0.68272,0.56135,0.59064,0.38288,0.99811,0.66394,1.11439,7.07336e-05,7.07336e-05,7.07336e-05
45,5058.6,0.83545,0.51554,1.03965,0.70815,0.5401,0.58982,0.38213,0.99775,0.66521,1.114,6.13088e-05,6.13088e-05,6.13088e-05
46,5152.33,0.82643,0.50653,1.03111,0.66995,0.56063,0.58335,0.37989,0.99822,0.66154,1.11467,5.1884e-05,5.1884e-05,5.1884e-05
47,5275.31,0.82307,0.50275,1.03259,0.68998,0.55173,0.58959,0.38469,0.99621,0.66501,1.11481,4.24592e-05,4.24592e-05,4.24592e-05
48,5383.59,0.81353,0.49187,1.02528,0.70846,0.53822,0.5916,0.3885,0.99577,0.66243,1.11386,3.30344e-05,3.30344e-05,3.30344e-05
49,5483.89,0.80926,0.48857,1.0241,0.71737,0.53318,0.58848,0.38814,0.99345,0.65956,1.11292,2.36096e-05,2.36096e-05,2.36096e-05
50,5584.47,0.8029,0.48494,1.02311,0.69117,0.55164,0.59384,0.38978,0.99486,0.65885,1.11378,1.41848e-05,1.41848e-05,1.41848e-05
