epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3142.61,1.22047,2.08562,1.30989,0.48817,0.30653,0.3078,0.19051,1.14149,1.09214,1.21408,0.000157111,0.000157111,0.000157111
2,6226.9,1.12839,1.04741,1.21621,0.71317,0.32352,0.34622,0.20821,1.18425,1.04657,1.25915,0.000309525,0.000309525,0.000309525
3,9316.96,1.15459,1.02137,1.22299,0.55025,0.29543,0.30808,0.17923,1.29519,1.26374,1.32973,0.000455656,0.000455656,0.000455656
4,12321.5,1.16501,1.01166,1.23065,0.5231,0.34268,0.3642,0.21858,1.20268,1.05202,1.254,0.000447726,0.000447726,0.000447726
5,15311.8,1.13462,0.96473,1.2129,0.55504,0.35829,0.37783,0.22399,1.16437,1.0214,1.22635,0.000438301,0.000438301,0.000438301
6,18439.9,1.12073,0.92336,1.19917,0.50236,0.34719,0.37382,0.22204,1.18937,1.03184,1.2223,0.000428876,0.000428876,0.000428876
7,21458.9,1.10101,0.89682,1.18836,0.66217,0.39916,0.4221,0.25323,1.13843,0.94394,1.21579,0.000419451,0.000419451,0.000419451
8,24695.8,1.08815,0.87299,1.1823,0.52522,0.38924,0.40649,0.24566,1.13259,0.92585,1.1999,0.000410026,0.000410026,0.000410026
9,27676.4,1.07506,0.8548,1.17177,0.68213,0.39692,0.44281,0.26225,1.11931,0.84578,1.19347,0.000400602,0.000400602,0.000400602
10,30705.6,1.06341,0.8309,1.164,0.70151,0.40936,0.45277,0.27359,1.07806,0.8307,1.16737,0.000391177,0.000391177,0.000391177
11,34466,1.05388,0.81864,1.15751,0.61028,0.42205,0.45296,0.26921,1.10512,0.88967,1.17459,0.000381752,0.000381752,0.000381752
12,38076.3,1.03931,0.8032,1.14935,0.61798,0.43579,0.47591,0.28986,1.07224,0.79605,1.15545,0.000372327,0.000372327,0.000372327
13,41563.2,1.03058,0.78879,1.14334,0.53894,0.47053,0.47132,0.28811,1.06599,0.80343,1.15438,0.000362902,0.000362902,0.000362902
14,45199.9,1.02399,0.77615,1.13876,0.59785,0.46084,0.48407,0.29864,1.06263,0.79732,1.15484,0.000353478,0.000353478,0.000353478
15,48774.2,1.00931,0.75911,1.13037,0.62101,0.47598,0.50286,0.31105,1.04192,0.80857,1.14081,0.000344053,0.000344053,0.000344053
16,51998.7,1.00729,0.75106,1.12617,0.63262,0.4718,0.50136,0.30445,1.03451,0.76158,1.13585,0.000334628,0.000334628,0.000334628
17,55154.2,1.0026,0.74504,1.12111,0.69373,0.48402,0.52212,0.32239,1.04139,0.75306,1.12899,0.000325203,0.000325203,0.000325203
18,2903.69,0.99143,0.7257,1.1151,0.63363,0.49041,0.51207,0.31367,1.03084,0.74869,1.12772,0.000315778,0.000315778,0.000315778
19,5760.83,0.97615,0.71599,1.11298,0.62222,0.48908,0.52144,0.32464,1.02804,0.72526,1.12756,0.000306354,0.000306354,0.000306354
20,8360.96,0.96916,0.70383,1.10306,0.62659,0.50816,0.51861,0.32079,1.02602,0.72466,1.12618,0.000296929,0.000296929,0.000296929
21,11606,0.96372,0.69596,1.10265,0.6975,0.49374,0.54139,0.33373,1.01848,0.71318,1.12086,0.000287504,0.000287504,0.000287504
22,14307.4,0.94836,0.68205,1.09503,0.63372,0.4909,0.53147,0.33186,1.0165,0.71119,1.12274,0.000278079,0.000278079,0.000278079
23,17338.3,0.94685,0.67178,1.08859,0.71384,0.4838,0.55045,0.34223,1.01881,0.69545,1.1197,0.000268654,0.000268654,0.000268654
24,21563.1,0.93994,0.66533,1.08674,0.67399,0.50535,0.55457,0.34779,1.01119,0.69606,1.11868,0.00025923,0.00025923,0.00025923
25,24558.7,0.92961,0.65661,1.08314,0.70041,0.49677,0.55222,0.34576,1.00114,0.68122,1.1094,0.000249805,0.000249805,0.000249805
26,27642,0.92486,0.64761,1.0782,0.64403,0.51421,0.54714,0.34632,0.99468,0.68893,1.10447,0.00024038,0.00024038,0.00024038
27,30655.9,0.91831,0.63724,1.07248,0.68596,0.50079,0.55554,0.35152,1.00898,0.67729,1.11048,0.000230955,0.000230955,0.000230955
28,33652.2,0.91276,0.62955,1.06989,0.71253,0.51817,0.56681,0.35217,0.99757,0.6822,1.10727,0.00022153,0.00022153,0.00022153
29,36543.6,0.90504,0.62228,1.06647,0.67797,0.51162,0.56052,0.3531,0.99502,0.67007,1.10578,0.000212106,0.000212106,0.000212106
28,4044.08,0.90165,0.61619,1.0622,0.62422,0.51962,0.53609,0.33586,1.01117,0.69649,1.12214,0.00022153,0.00022153,0.00022153
30,41875.3,0.89622,0.61562,1.06166,0.6961,0.52109,0.56593,0.35874,0.99174,0.6647,1.10627,0.000202681,0.000202681,0.000202681
29,9422.07,0.88534,0.60669,1.05888,0.69618,0.53235,0.57663,0.36226,0.99486,0.67177,1.10559,0.000212106,0.000212106,0.000212106
31,45017.6,0.89339,0.60976,1.06029,0.70896,0.52499,0.57221,0.35965,0.99499,0.66604,1.11038,0.000193256,0.000193256,0.000193256
30,13205.9,0.8796,0.59516,1.05098,0.69946,0.53344,0.57363,0.36397,0.99654,0.67185,1.10681,0.000202681,0.000202681,0.000202681
32,47888.1,0.88023,0.5963,1.05299,0.69729,0.5328,0.575,0.36108,0.98941,0.66175,1.10345,0.000183831,0.000183831,0.000183831
