epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.2,1.69066,3.33047,2.12332,0.30886,0.25509,0.07497,0.0676,2.6163,5.61283,3.44929,0.00333255,0.00333255,0.00333255
2,2221.2,1.55602,2.93695,2.02756,0.5503,0.25,0.06973,0.06371,2.6353,5.80848,3.61045,0.00662189,0.00662189,0.00662189
3,3320.15,1.56539,2.92545,2.04236,0.33914,0.25012,0.09076,0.08334,2.60959,5.93433,3.73225,0.00986723,0.00986723,0.00986723
4,4415.76,1.5419,2.89968,2.02257,0.56051,0.25496,0.09969,0.0847,2.55524,5.58293,3.62723,0.009802,0.009802,0.009802
5,5508.13,1.5017,2.86077,1.98934,0.30987,0.25293,0.10977,0.0839,2.53715,5.4664,3.70177,0.009736,0.009736,0.009736
6,6600.99,1.47747,2.8314,1.97124,0.30633,0.2533,0.1493,0.14324,2.51358,5.55873,3.69771,0.00967,0.00967,0.00967
7,7696.37,1.46356,2.81333,1.95822,0.31227,0.2804,0.14148,0.13443,2.50794,5.50196,3.64816,0.009604,0.009604,0.009604
8,8789.34,1.44848,2.80349,1.94518,0.32009,0.29618,0.17691,0.17016,2.52541,5.50564,3.70092,0.009538,0.009538,0.009538
9,9881.93,1.43391,2.78787,1.93558,0.31844,0.29488,0.19557,0.18898,2.50815,5.52876,3.68148,0.009472,0.009472,0.009472
10,10976.5,1.43457,2.77823,1.93664,0.32001,0.2975,0.18916,0.18277,2.50627,5.51486,3.66855,0.009406,0.009406,0.009406
11,12069.9,1.4211,2.77321,1.9277,0.32012,0.2942,0.19835,0.19164,2.48741,5.54648,3.65502,0.00934,0.00934,0.00934
12,13162.3,1.4115,2.76287,1.92137,0.32084,0.29215,0.26013,0.25362,2.47973,5.54882,3.66376,0.009274,0.009274,0.009274
13,14255.1,1.4114,2.76174,1.92024,0.32069,0.28722,0.24285,0.23658,2.4773,5.52322,3.67193,0.009208,0.009208,0.009208
14,15347.9,1.40389,2.75214,1.91704,0.32097,0.28934,0.25872,0.25239,2.47969,5.47019,3.66621,0.009142,0.009142,0.009142
15,16442.2,1.40135,2.74903,1.91635,0.16949,0.46195,0.25797,0.25157,2.47884,5.43824,3.67574,0.009076,0.009076,0.009076
16,17534.9,1.39746,2.74577,1.91496,0.19092,0.52413,0.19127,0.18489,2.47597,5.41387,3.67471,0.00901,0.00901,0.00901
17,18628.1,1.39615,2.74074,1.91413,0.15366,0.54064,0.19159,0.18522,2.47372,5.40054,3.67396,0.008944,0.008944,0.008944
18,19722.3,1.39231,2.73322,1.90897,0.14999,0.54049,0.19259,0.18618,2.47362,5.38651,3.67446,0.008878,0.008878,0.008878
19,20814.1,1.394,2.73432,1.90994,0.14826,0.53963,0.19162,0.18486,2.47354,5.37968,3.66684,0.008812,0.008812,0.008812
20,21906.9,1.38721,2.73613,1.90561,0.147,0.53887,0.19165,0.18482,2.47392,5.36748,3.66036,0.008746,0.008746,0.008746
21,22999.1,1.38753,2.72297,1.90815,0.14286,0.54086,0.1922,0.18497,2.47464,5.34695,3.65866,0.00868,0.00868,0.00868
