epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.446,2.0262,3.14838,1.48902,0.66687,0.68249,0.71928,0.31699,1.88034,1.22825,1.33885,0.00331723,0.00331723,0.00331723
2,393.052,1.6313,0.99718,1.23485,0.7838,0.8173,0.87818,0.43552,1.70354,0.96627,1.24956,0.00660667,0.00660667,0.00660667
3,578.381,1.6513,1.01103,1.23225,0.57287,0.60875,0.57476,0.24915,1.89159,2.2944,1.35145,0.00985211,0.00985211,0.00985211
4,763.467,1.66191,1.01895,1.23853,0.72185,0.65309,0.73407,0.36311,1.6788,1.26411,1.23878,0.009802,0.009802,0.009802
5,947.009,1.60892,0.93438,1.21216,0.82844,0.827,0.90468,0.46353,1.6433,0.98472,1.22206,0.009736,0.009736,0.009736
6,1129.81,1.56826,0.87042,1.19181,0.80026,0.80525,0.86957,0.45026,1.65193,0.88454,1.21604,0.00967,0.00967,0.00967
7,1313.58,1.55115,0.84461,1.18747,0.88158,0.87592,0.94567,0.50496,1.65253,0.76169,1.21727,0.009604,0.009604,0.009604
8,1498.1,1.51605,0.80175,1.16079,0.83385,0.92034,0.95032,0.49897,1.67027,0.74485,1.22477,0.009538,0.009538,0.009538
9,1682.11,1.50157,0.77957,1.16203,0.85152,0.89605,0.93652,0.51312,1.56379,0.73417,1.1756,0.009472,0.009472,0.009472
10,1865.49,1.48494,0.76446,1.15443,0.88017,0.89489,0.94532,0.53927,1.50078,0.68804,1.14906,0.009406,0.009406,0.009406
11,2048.24,1.46316,0.74217,1.14457,0.87179,0.90682,0.94881,0.53525,1.52978,0.67891,1.15546,0.00934,0.00934,0.00934
12,2231.3,1.46081,0.73774,1.14216,0.84796,0.90686,0.94033,0.52914,1.49846,0.69964,1.14687,0.009274,0.009274,0.009274
13,2414.14,1.45378,0.72778,1.13927,0.88214,0.91288,0.95775,0.55985,1.48077,0.66005,1.13799,0.009208,0.009208,0.009208
14,2596.05,1.44102,0.71555,1.13584,0.8582,0.91089,0.95154,0.54193,1.53173,0.67968,1.1581,0.009142,0.009142,0.009142
15,2778.3,1.4233,0.70195,1.12425,0.8925,0.89852,0.95763,0.55779,1.46862,0.65571,1.12993,0.009076,0.009076,0.009076
16,2960.69,1.42565,0.69818,1.12427,0.88666,0.91985,0.96183,0.56793,1.44383,0.61739,1.12129,0.00901,0.00901,0.00901
17,3143.12,1.41621,0.6902,1.12322,0.89177,0.9308,0.96113,0.55997,1.47228,0.61327,1.13082,0.008944,0.008944,0.008944
18,3324.8,1.4041,0.67747,1.11787,0.88576,0.92671,0.96164,0.56449,1.44237,0.61113,1.11738,0.008878,0.008878,0.008878
19,3506.66,1.39005,0.66951,1.11091,0.87582,0.93548,0.96419,0.57163,1.45369,0.60715,1.12324,0.008812,0.008812,0.008812
20,3688.03,1.3889,0.66229,1.108,0.90957,0.91488,0.96548,0.57235,1.43018,0.59536,1.11677,0.008746,0.008746,0.008746
21,3870.85,1.38279,0.66118,1.10433,0.89868,0.93084,0.97085,0.58116,1.42128,0.5834,1.11055,0.00868,0.00868,0.00868
22,4052.25,1.37553,0.65753,1.10185,0.9046,0.91672,0.96725,0.57974,1.4207,0.59705,1.10935,0.008614,0.008614,0.008614
23,4233.94,1.37907,0.65326,1.10573,0.89667,0.94691,0.97027,0.57856,1.42971,0.59707,1.11619,0.008548,0.008548,0.008548
24,4415.51,1.36036,0.64218,1.09839,0.90812,0.92391,0.9708,0.58142,1.41638,0.58423,1.10738,0.008482,0.008482,0.008482
25,4598.12,1.36535,0.64377,1.09789,0.90669,0.93281,0.96805,0.58157,1.41487,0.5832,1.10614,0.008416,0.008416,0.008416
26,4779.53,1.35157,0.6373,1.09399,0.90231,0.92204,0.96965,0.57654,1.42913,0.58224,1.1108,0.00835,0.00835,0.00835
27,4961.5,1.34887,0.63024,1.0905,0.91671,0.92137,0.97338,0.57245,1.45862,0.5787,1.12291,0.008284,0.008284,0.008284
