epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.957,1.81793,3.53076,2.21765,0.00297,0.9447,0.0202,0.00678,2.74676,5.48675,3.72523,0.00333196,0.00333196,0.00333196
2,213.768,1.65494,3.09405,2.11153,0.00726,0.80378,0.02033,0.00681,2.75347,6.00411,3.91611,0.00653332,0.00653332,0.00653332
3,314.471,1.67093,3.05843,2.12612,0.00116,0.9874,0.01633,0.00572,2.70186,6.16544,3.85043,0.00960268,0.00960268,0.00960268
4,413.959,1.64385,3.05215,2.11694,0.00333,0.94772,0.02066,0.00715,2.71559,5.82244,3.82605,0.009406,0.009406,0.009406
5,513.353,1.61162,3.01365,2.08578,0.00649,0.87903,0.02314,0.00917,2.65932,5.73341,3.80853,0.009208,0.009208,0.009208
6,612.806,1.57982,2.99328,2.05672,0.0017,0.97986,0.02194,0.00884,2.63924,5.50594,3.73889,0.00901,0.00901,0.00901
7,712.427,1.56453,2.97882,2.04484,0.02854,0.22118,0.02179,0.00819,2.6328,5.94581,3.65451,0.008812,0.008812,0.008812
8,813.033,1.54768,2.9688,2.03175,0.02242,0.42977,0.02153,0.0085,2.6145,5.59081,3.75816,0.008614,0.008614,0.008614
9,913.812,1.53691,2.95714,2.02487,0.02424,0.46087,0.02582,0.00976,2.614,5.71425,3.79107,0.008416,0.008416,0.008416
10,1013.37,1.5246,2.94795,2.01536,0.01472,0.67635,0.02225,0.00894,2.62848,5.7543,3.88804,0.008218,0.008218,0.008218
11,1112.84,1.52122,2.9407,2.00926,0.02863,0.30208,0.02095,0.00889,2.63815,5.67328,3.94602,0.00802,0.00802,0.00802
12,1212.27,1.51033,2.93514,2.00285,0.01995,0.4926,0.02141,0.00862,2.61654,5.66251,3.88862,0.007822,0.007822,0.007822
13,1311.46,1.50528,2.9302,1.99842,0.03423,0.09922,0.02477,0.01147,2.63199,5.71426,3.89608,0.007624,0.007624,0.007624
14,1410.72,1.49868,2.91449,1.9907,0.03518,0.04841,0.02501,0.01137,2.62179,5.68777,3.90594,0.007426,0.007426,0.007426
15,1509.91,1.49652,2.91276,1.99159,0.03342,0.03607,0.02626,0.01186,2.61996,5.62037,3.90971,0.007228,0.007228,0.007228
16,1609.17,1.49194,2.90943,1.9896,0.03933,0.03969,0.02395,0.01107,2.61112,5.59116,3.9701,0.00703,0.00703,0.00703
17,1708.18,1.48623,2.90912,1.98425,0.03913,0.06231,0.02644,0.01159,2.6086,5.53612,3.93112,0.006832,0.006832,0.006832
18,1808.63,1.47822,2.90249,1.98378,0.03861,0.04286,0.02499,0.01108,2.5972,5.50618,3.91525,0.006634,0.006634,0.006634
19,1907.75,1.47528,2.89813,1.97665,0.03666,0.04452,0.02495,0.01146,2.59931,5.59713,3.90598,0.006436,0.006436,0.006436
20,2006.96,1.47653,2.89139,1.97781,0.03684,0.04567,0.02448,0.01071,2.59897,5.63533,3.88371,0.006238,0.006238,0.006238
21,2105.88,1.47439,2.89048,1.97521,0.03793,0.04743,0.02439,0.01024,2.59828,5.6137,3.89913,0.00604,0.00604,0.00604
22,2205.15,1.46767,2.88828,1.97221,0.0417,0.07631,0.0242,0.00993,2.59382,5.63588,3.93614,0.005842,0.005842,0.005842
23,2304.26,1.46678,2.88457,1.96723,0.0416,0.09469,0.02423,0.00998,2.59255,5.63783,3.94646,0.005644,0.005644,0.005644
24,2403.39,1.46532,2.88096,1.97276,0.04071,0.09314,0.02397,0.00997,2.59136,5.63711,3.96004,0.005446,0.005446,0.005446
25,2502.31,1.46546,2.87817,1.96915,0.03944,0.0899,0.02392,0.00995,2.59066,5.61878,3.96595,0.005248,0.005248,0.005248
26,2602.09,1.45642,2.87516,1.96347,0.03924,0.09103,0.02368,0.00984,2.59227,5.60864,3.97746,0.00505,0.00505,0.00505
27,2701.24,1.4501,2.87772,1.96315,0.04039,0.09415,0.02388,0.00991,2.5924,5.59572,3.98156,0.004852,0.004852,0.004852
28,2800.49,1.44824,2.86982,1.96091,0.03979,0.09345,0.0241,0.01003,2.5912,5.60424,3.98472,0.004654,0.004654,0.004654
29,2899.61,1.45124,2.86187,1.96154,0.041,0.09419,0.02416,0.01006,2.59152,5.6037,3.98118,0.004456,0.004456,0.004456
30,2998.97,1.44323,2.8648,1.95808,0.0412,0.09302,0.02417,0.01008,2.59013,5.60246,3.98197,0.004258,0.004258,0.004258
31,3098.07,1.44582,2.86114,1.9554,0.04244,0.09641,0.02449,0.01018,2.591,5.58897,3.98414,0.00406,0.00406,0.00406
32,3197.1,1.43791,2.86342,1.95434,0.04191,0.09641,0.02444,0.01026,2.59073,5.58092,3.98586,0.003862,0.003862,0.003862
33,3295.98,1.43898,2.85669,1.95449,0.04198,0.09727,0.02449,0.01034,2.59008,5.57958,3.98463,0.003664,0.003664,0.003664
34,3395.34,1.4322,2.85541,1.95279,0.0414,0.09501,0.02455,0.0104,2.58988,5.57903,3.98859,0.003466,0.003466,0.003466
35,3495.75,1.42992,2.84853,1.95296,0.04204,0.09727,0.02456,0.01042,2.58969,5.57708,3.9878,0.003268,0.003268,0.003268
36,3594.84,1.42971,2.85234,1.94723,0.0422,0.09727,0.02453,0.01041,2.58906,5.57255,3.98448,0.00307,0.00307,0.00307
