epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1298.68,1.34923,2.91653,1.3522,0.83835,0.19412,0.21622,0.13403,1.28282,1.89014,1.29804,0.000157111,0.000157111,0.000157111
2,2567.19,1.24284,1.45717,1.27778,0.68134,0.25804,0.26513,0.15939,1.2748,1.3426,1.28897,0.000303273,0.000303273,0.000303273
3,3829.81,1.22076,1.30617,1.25252,0.56094,0.27062,0.28888,0.16967,1.29668,1.40423,1.29612,0.000436868,0.000436868,0.000436868
4,5093.97,1.20374,1.22942,1.24269,0.69526,0.283,0.30517,0.18204,1.25325,1.21341,1.2842,0.000419451,0.000419451,0.000419451
5,6361.78,1.18203,1.16209,1.2288,0.65248,0.30616,0.32991,0.19579,1.19269,1.10169,1.22906,0.000400602,0.000400602,0.000400602
6,7628.46,1.16699,1.10787,1.21315,0.72632,0.32058,0.34781,0.2071,1.19408,1.06653,1.21529,0.000381752,0.000381752,0.000381752
7,8896.23,1.14682,1.06767,1.20206,0.6595,0.32825,0.35269,0.21349,1.16644,1.0331,1.20889,0.000362902,0.000362902,0.000362902
8,10165.6,1.13586,1.02766,1.19456,0.63367,0.32814,0.36309,0.21965,1.16303,0.9933,1.18878,0.000344053,0.000344053,0.000344053
9,11433.2,1.1236,0.99958,1.1847,0.6372,0.35162,0.36909,0.22338,1.15663,1.01654,1.20219,0.000325203,0.000325203,0.000325203
10,12699.8,1.11433,0.97192,1.17766,0.68834,0.32464,0.37925,0.22782,1.14212,0.96292,1.18788,0.000306354,0.000306354,0.000306354
11,13963.6,1.1042,0.94584,1.17297,0.52082,0.38003,0.39595,0.23633,1.12763,0.93299,1.16906,0.000287504,0.000287504,0.000287504
12,15233,1.09325,0.9308,1.16572,0.5624,0.35566,0.39993,0.24424,1.11602,0.90607,1.16573,0.000268654,0.000268654,0.000268654
13,16500.4,1.08293,0.90867,1.15876,0.49517,0.39706,0.41617,0.25467,1.10753,0.89745,1.15946,0.000249805,0.000249805,0.000249805
14,17774.7,1.07625,0.89514,1.15487,0.53662,0.40321,0.41085,0.2497,1.09041,0.88315,1.15533,0.000230955,0.000230955,0.000230955
15,19045.5,1.06,0.87161,1.14587,0.60849,0.40406,0.43154,0.26093,1.08904,0.85692,1.14867,0.000212106,0.000212106,0.000212106
16,20328.9,1.05377,0.8462,1.13662,0.59874,0.41778,0.43826,0.26418,1.09061,0.85957,1.14812,0.000193256,0.000193256,0.000193256
17,21588.9,1.03354,0.80587,1.12414,0.56354,0.42944,0.4619,0.27885,1.07703,0.83144,1.13949,0.000174406,0.000174406,0.000174406
18,22854.5,1.02498,0.78436,1.11627,0.60667,0.43654,0.46813,0.28428,1.07824,0.81216,1.14035,0.000155557,0.000155557,0.000155557
19,24118.9,1.01421,0.7663,1.10923,0.5576,0.44042,0.463,0.28234,1.06892,0.80663,1.13077,0.000136707,0.000136707,0.000136707
20,25383.4,1.00586,0.74946,1.10306,0.58596,0.43732,0.46594,0.28645,1.06454,0.79577,1.12676,0.000117858,0.000117858,0.000117858
21,26649.8,0.9923,0.73525,1.09417,0.56482,0.47122,0.48073,0.2928,1.05752,0.78691,1.12497,9.9008e-05,9.9008e-05,9.9008e-05
22,27916.7,0.98511,0.72007,1.08979,0.58208,0.4587,0.48307,0.29464,1.05587,0.78275,1.1274,8.01584e-05,8.01584e-05,8.01584e-05
23,29178.3,0.97627,0.71057,1.08236,0.59816,0.46596,0.4934,0.30105,1.05072,0.77118,1.1233,6.13088e-05,6.13088e-05,6.13088e-05
24,30442.4,0.97065,0.70309,1.08431,0.59146,0.47852,0.4953,0.30334,1.04762,0.76451,1.11881,4.24592e-05,4.24592e-05,4.24592e-05
25,31707.6,0.96181,0.69022,1.07496,0.60095,0.48399,0.50368,0.30692,1.0466,0.75908,1.11956,2.36096e-05,2.36096e-05,2.36096e-05
