id,typeName,articleId
57896,Shorts,72
37297,Watches,66
3721,Belts,49
51041,Briefs,137
2833,Casual Shoes,93
29289,Shirts,85
49888,Watches,66
23684,Wallets,65
59471,Ring,229
42397,Tshirts,90
13232,Tshirts,90
38162,Sunglasses,51
47195,Sandals,92
16030,Shirts,85
40650,Kurtas,83
26486,Tshirts,90
21343,Sunglasses,51
29773,Shirts,85
53586,Watches,66
34842,Sports Shoes,95
28861,Tshirts,90
6523,Capris,68
51411,Shirts,85
30102,Jeans,70
6489,Tshirts,90
3371,Sports Shoes,95
38532,Sports Shoes,95
45002,Watches,66
13662,Shirts,85
12970,Sports Shoes,95
59021,Heels,279
24511,Kurtas,83
21713,Watches,66
16460,Shirts,85
13398,Shirts,85
35300,Earrings,187
55901,Nail Polish,246
19795,Tshirts,90
6173,Flip Flops,127
18887,Shirts,85
54613,Briefs,137
49922,Sarees,563
51942,Handbags,46
36486,Casual Shoes,93
2130,Shirts,85
57195,Tunics,91
50650,Lounge Pants,175
28498,Shorts,72
58260,Handbags,46
25750,Belts,49
22095,Casual Shoes,93
39773,Shirts,85
12423,Casual Shoes,93
43586,Dresses,79
41041,Watches,66
17621,Leggings,71
39289,Casual Shoes,93
46784,Perfume and Body Mist,162
59888,Tops,89
47896,Handbags,46
20552,Belts,49
27297,Kurtas,83
16933,Tshirts,90
52397,Nightdress,201
28162,Sunglasses,51
7332,Casual Shoes,93
30801,Shirts,85
50200,Sunglasses,51
7298,Tshirts,90
31713,Earrings,187
12073,Kurtas,83
44613,Sports Shoes,95
39323,Shorts,72
59922,Kurtas,83
25300,Wallets,65
45901,Watches,66
16899,Tshirts,90
20102,Kurtas,83
17271,Tshirts,90
41411,Tshirts,90
12589,Tshirts,90
8497,Skirts,74
34511,Flip Flops,127
49021,Ring,229
55002,Lip Gloss,236
28532,Tshirts,90
6870,Dresses,79
15759,Innerwear Vests,138
17764,Formal Shoes,94
8182,Shirts,85
16876,Sunglasses,51
55517,Hair Colour,287
28027,Briefs,137
34004,Tops,89
49534,Clutches,45
18491,Jackets,82
7277,Tshirts,90
36039,Duffel Bag,120
31206,Accessory Gift Set,185
51807,Nightdress,201
50715,Tshirts,90
27628,Shorts,72
25615,Watches,66
58325,Flip Flops,127
24907,Tshirts,90
8478,Jackets,82
39636,Sports Shoes,95
27782,Wallets,65
20047,Caps,54
46291,Sports Shoes,95
43569,Backpacks,43
15309,Sports Shoes,95
17334,Sunglasses,51
26890,Tops,89
49164,Kajal and Eyeliner,269
53990,Handbags,46
34454,Flats,280
33391,Wallets,65
36469,Casual Shoes,93
28477,Kurtas,83
55147,Nail Polish,246
6935,Tshirts,90
4908,Tops,89
52682,Watches,66
50345,Kurtas,83
32979,Tshirts,90
57480,Casual Shoes,93
30944,Kurtis,84
52378,Nightdress,201
31656,Shirts,85
39266,Casual Shoes,93
44756,Casual Shoes,93
12136,Kurtas,83
22580,Sweatshirts,87
27278,Kurtas,83
25245,Handbags,46
16175,Formal Shoes,94
9793,Shirts,85
42728,Flats,280
14148,Cufflinks,50
8881,Trousers,78
34907,Dupatta,134
29636,Shirts,85
54306,Briefs,137
28924,Tshirts,90
19280,Watches,66
37628,Tshirts,90
6466,Flip Flops,127
3664,Sports Shoes,95
53139,Heels,279
18868,Shorts,72
2976,Tshirts,90
59534,Earrings,187
38027,Watches,66
9269,Shirts,85
13377,Casual Shoes,93
22979,Casual Shoes,93
20944,Flip Flops,127
14518,Shirts,85
55844,Nail Polish,246
32580,Tunics,91
6036,Tshirts,90
37278,Tshirts,90
35245,Socks,61
57879,Face Scrub and Exfoliator,488
49867,Watches,66
53093,Necklace and Chains,148
29266,Sports Shoes,95
56291,Briefs,137
53569,Watches,66
51554,Watches,66
36890,Belts,49
37782,Shirts,85
30047,Watches,66
13727,Sports Shoes,95
45147,Watches,66
9639,Shirts,85
38477,Wallets,65
42682,Kurtas,83
43990,Perfume and Body Mist,162
24454,Casual Shoes,93
12835,Dresses,79
26469,Tshirts,90
5533,Sports Shoes,95
31085,Stoles,62
50596,Briefs,137
57253,Handbags,46
22353,Shirts,85
25496,Flip Flops,127
42952,Belts,49
15020,Jackets,82
43640,Tops,89
44185,Perfume and Body Mist,162
21986,Handbags,46
10222,Handbags,46
46442,Watches,66
41387,Tops,89
27151,Shirts,85
19900,Sandals,92
55794,Night suits,456
52051,Tshirts,90
34287,Dupatta,134
33542,Tops,89
54886,Necklace and Chains,148
18612,Tshirts,90
57603,Lipstick,234
1989,Tshirts,90
5163,Tshirts,90
56911,Heels,279
36310,Tshirts,90
10388,Watches,66
43210,Watches,66
15470,Tshirts,90
22703,Casual Shoes,93
27501,Camisoles,141
11960,Casual Shoes,93
46012,Sarees,563
10672,Tops,89
8751,Shirts,85
5499,Tshirts,90
18242,Tshirts,90
33112,Casual Shoes,93
52401,Nightdress,201
37151,Tshirts,90
4322,Tshirts,90
30694,Heels,279
31986,Socks,61
51387,Boxers,139
15923,Backpacks,43
24287,Sweatshirts,87
23542,Perfume and Body Mist,162
44886,Tshirts,90
14631,Scarves,56
9510,Shorts,72
27852,Tops,89
40596,Kurtis,84
47253,Briefs,137
11433,Sweaters,88
53640,Casual Shoes,93
54185,Handbags,46
19003,Sweatshirts,87
32353,Watches,66
35496,Sandals,92
52952,Sarees,563
5860,Tshirts,90
56012,Lipstick,234
4772,Tshirts,90
11599,Kurtas,83
42401,Tshirts,90
23112,Accessory Gift Set,185
15889,Sandals,92
26310,Shorts,72
9140,Tunics,91
11063,Shirts,85
47603,Heels,279
19453,Tshirts,90
1570,Tshirts,90
11576,Kurtis,84
47316,Handbags,46
9455,Shirts,85
27917,Trousers,78
39909,Sports Shoes,95
26605,Sports Shoes,95
24638,Sports Shoes,95
52817,Earrings,187
3058,Tshirts,90
32216,Kurtas,83
19146,Sweatshirts,87
48519,Tops,89
4267,Sports Shoes,95
35029,Stoles,62
56507,Lip Gloss,236
15866,Casual Shoes,93
14774,Shirts,85
42114,Shorts,72
16749,Clutches,45
40129,Shirts,85
44869,Tshirts,90
26255,Track Pants,76
59758,Heels,279
21590,Shorts,72
11126,Track Pants,76
9005,Handbags,46
40083,Tshirts,90
35183,Backpacks,43
19516,Sweaters,88
32646,Tshirts,90
51368,Jeans,70
33954,Tshirts,90
54490,Handbags,46
31969,Casual Shoes,93
51692,Sunglasses,51
7918,Tshirts,90
5925,Casual Shoes,93
56157,Kajal and Eyeliner,269
35479,Formal Shoes,94
4637,Sports Shoes,95
48149,Wallets,65
50980,Nightdress,201
25880,Backpacks,43
42544,Kurtas,83
14324,Sweaters,88
40579,Kurtas,83
16319,Tshirts,90
45281,Wallets,65
23057,Tshirts,90
8244,Handbags,46
46507,Watches,66
10367,Shirts,85
25029,Shorts,72
58519,Tops,89
27014,Capris,68
1966,Tshirts,90
52114,Tops,89
19845,Shirts,85
18757,Shirts,85
33407,Clutches,45
2649,Handbags,46
29909,Watches,66
36605,Shirts,85
34638,Sports Shoes,95
5476,Sports Shoes,95
49308,Socks,61
57316,Bra,153
42817,Briefs,137
22216,Tshirts,90
41738,Heels,279
17158,Shirts,85
43705,Jewellery Set,233
15165,Tshirts,90
58149,Caps,54
25479,Sports Shoes,95
11825,Casual Shoes,93
20381,Tshirts,90
13818,Caps,54
9906,Handbags,46
27444,Tshirts,90
40980,Tshirts,90
8614,Sunglasses,51
41692,Heels,279
10737,Handbags,46
2219,Casual Shoes,93
33057,Shirts,85
18307,Shirts,85
35880,Tshirts,90
50579,Briefs,137
55281,Highlighter and Blush,286
57746,Foundation and Primer,239
54869,Necklace and Chains,148
36255,Night suits,456
49758,Leggings,71
5026,Bra,153
34268,Dupatta,134
31590,Tshirts,90
56854,Shirts,85
17508,Tshirts,90
23954,Shirts,85
21969,Handbags,46
15535,Socks,61
43355,Sports Shoes,95
25183,Handbags,46
22646,Duffel Bag,120
27690,Handbags,46
22168,Casual Shoes,93
20155,Shirts,85
46383,Sweatshirts,87
26982,Capris,68
41446,Casual Shoes,93
17226,Sunglasses,51
49076,Eyeshadow,243
34546,Belts,49
53882,Flip Flops,127
33283,Jeans,70
7735,Sports Shoes,95
28565,Tshirts,90
55055,Lipstick,234
6827,Sports Sandals,283
57068,Jackets,82
30856,Kurtas,83
57592,Lipstick,234
18429,Laptop Bag,158
43181,Watches,66
59975,Dresses,79
46679,Perfume and Body Mist,162
10019,Tshirts,90
39374,Watches,66
44644,Tops,89
12024,Shirts,85
22492,Sports Shoes,95
58667,Kurtas,83
25357,Briefs,137
17676,Heels,279
41016,Belts,49
8090,Sandals,92
22538,Briefs,137
20505,Handbags,46
14959,Jackets,82
28135,Briefs,137
57438,Tshirts,90
5358,Sports Shoes,95
34116,Capris,68
18583,Socks,61
7365,Casual Shoes,93
31314,Kurtas,83
53928,Handbags,46
51915,Handbags,46
18079,Briefs,137
2167,Shirts,85
33329,Shirts,85
50607,Briefs,137
38836,Dresses,79
25707,Handbags,46
58237,Wallets,65
10449,Tshirts,90
12474,Sandals,92
44214,Flip Flops,127
39724,Dresses,79
21744,Casual Shoes,93
23779,Sunglasses,51
16437,Tshirts,90
20856,Casual Shoes,93
47592,Heels,279
32492,Tshirts,90
55956,Mascara,245
6124,Backpacks,43
4119,Casual Shoes,93
48667,Earrings,187
49975,Innerwear Vests,138
56679,Heels,279
54644,Watches,66
51446,Tops,89
37690,Backpacks,43
19238,Duffel Bag,120
32168,Socks,61
30155,Belts,49
13635,Innerwear Vests,138
38565,Caps,54
11608,Kurtas,83
47068,Patiala,184
24546,Tops,89
43882,Flats,280
59076,Bra,153
8839,Trousers,78
12927,Casual Shoes,93
23283,Watches,66
40607,Kurtas,83
16067,Trousers,78
9681,Tshirts,90
21314,Sunglasses,51
43928,Heels,279
23329,Kurtas,83
8993,Sports Shoes,95
34815,Sports Shoes,95
56229,Night suits,456
29724,Handbags,46
36828,Kurtas,83
19392,Tshirts,90
28836,Kurtas,83
6574,Shorts,72
48237,Sunglasses,51
35707,Casual Shoes,93
4549,Sports Shoes,95
32538,Perfume and Body Mist,162
3776,Tshirts,90
19668,Sweatshirts,87
30505,Bra,153
51016,Bra,153
24116,Flip Flops,127
38135,Wallets,65
45405,Flats,280
11258,Tops,89
51503,Jeans,70
3263,Tshirts,90
38420,Belts,49
45110,Watches,66
13770,Tshirts,90
16088,Sunglasses,51
12862,Formal Shoes,94
59133,Jackets,82
24403,Kurtas,83
20913,Jeans,70
40312,Sandals,92
9394,Sports Shoes,95
35212,Backpacks,43
3799,Tshirts,90
55813,Night suits,456
19687,Shorts,72
6061,Tshirts,90
29231,Flats,280
18995,Caps,54
49830,Flip Flops,127
3633,Sandals,92
51153,Socks,61
2921,Tshirts,90
56696,Kurtas,83
23796,Flats,280
24053,Tshirts,90
59563,Pendant,186
22884,Sandals,92
13320,Shirts,85
47087,Flip Flops,127
16122,Tshirts,90
40742,Flip Flops,127
26594,Sports Shoes,95
41850,Socks,61
21251,Duffel Bag,120
59099,Briefs,137
34950,Sarees,563
48372,Shirts,85
28973,Kurta Sets,543
32187,Flip Flops,127
6431,Casual Shoes,93
30913,Kurtis,84
50312,Ties,63
31601,Tshirts,90
12161,Leggings,71
44701,Tops,89
39231,Tops,89
17699,Casual Shoes,93
